brand,conversation_count,resolved_conversations,mixed_brand_conversations,avg_conversation_length,median_conversation_length,max_conversation_length,resolved_conversation_rate,multi_turn_resolved_rate,total_tweets,company_responses,customer_messages,response_rate
idea_cares,7522,7522,12,4.6286891784099975,3.0,149,1.0,0.6502260037224142,34817,15724,19054,0.6763409257898604
ChaseSupport,6887,6887,147,2.774793088427472,2.0,32,1.0,0.2899666037461885,19110,8811,10175,0.8212285012285012
AirAsiaSupport,6763,6762,0,3.9899452905515305,2.0,802,0.9998521366257578,0.4832175070235103,26984,12829,14155,0.7587424938184387
AldiUK,6632,6632,41,2.8546441495778048,2.0,471,1.0,0.32282870928829915,18932,8114,10669,0.7145936826319242
BofA_Help,6583,6583,83,3.7817104663527266,3.0,392,1.0,0.5919793407261127,24895,12683,12134,0.7663589912642162
SW_Help,6224,6224,66,4.623553984575835,3.0,203,1.0,0.6833226221079691,28777,12231,16335,0.6255280073461892
Ask_WellsFargo,6036,6036,45,2.7640821736249173,2.0,89,1.0,0.2859509609012591,16684,7578,9030,0.8162790697674419
AirbnbHelp,6033,6033,7,3.325708602685231,2.0,650,1.0,0.38521465274324546,20064,8875,11184,0.7470493562231759
Morrisons,5960,5958,49,3.5748322147651006,3.0,471,0.9996644295302013,0.536744966442953,21306,10126,11072,0.7700505780346821
AskeBay,5662,5662,132,3.7387848816672555,2.0,49,1.0,0.4966442953020134,21169,9686,11417,0.7668389244109661
AlaskaAir,5629,5629,62,3.0039083318529047,2.0,123,1.0,0.3590335761236454,16909,7478,9385,0.7825253063399041
JetBlue,5181,5181,41,3.4398764717236054,3.0,36,1.0,0.5151515151515151,17822,8020,9773,0.7333469763634504
AdobeCare,5094,5094,9,4.123282292893601,3.0,51,1.0,0.5286611700039262,21004,9917,11082,0.7405702941707273
CoxHelp,4874,4874,57,3.745588838736151,2.0,651,1.0,0.4667624128026262,18256,7861,10060,0.7240556660039762
MicrosoftHelps,4458,4458,64,5.49887842081651,4.0,89,1.0,0.8115746971736204,24514,11304,13124,0.6446967387991466
AskAmex,4300,4300,36,4.85906976744186,4.0,50,1.0,0.7872093023255814,20894,11358,9494,0.8375816305034759
airtel_care,4025,4023,19,4.533664596273292,3.0,129,0.9995031055900621,0.528944099378882,18248,9881,8332,0.8931829092654825
HPSupport,3841,3841,2,3.26503514709711,3.0,24,1.0,0.6139026295235616,12541,7200,5340,0.8258426966292135
LondonMidland,3678,3676,51,4.414355628058727,3.0,56,0.9994562262098967,0.6525285481239804,16236,6822,9329,0.6664165505413228
GreggsOfficial,3344,3344,10,3.2655502392344498,2.0,143,1.0,0.4706937799043062,10920,4522,6381,0.6976962858486131
AzureSupport,3309,3297,4,4.454215775158659,3.0,94,0.9963735267452403,0.6249622242369296,14739,7565,7166,0.8354730672620709
GloCare,3219,3219,10,4.647095371233302,3.0,144,1.0,0.5709847778813296,14959,6308,8604,0.7160622966062297
DropboxSupport,3180,3180,8,3.6547169811320757,3.0,103,1.0,0.5377358490566038,11622,5954,5643,0.7981570086833245
AskPapaJohns,3153,3153,0,2.830954646368538,2.0,56,1.0,0.3336504915953061,8926,3908,5018,0.7676365085691511
TacoBellTeam,3110,3110,5,2.8935691318327974,2.0,25,1.0,0.3765273311897106,8999,4082,4915,0.8295015259409969
Postmates_Help,3010,3010,12,2.586378737541528,2.0,48,1.0,0.2794019933554817,7785,3346,4432,0.7497743682310469
CenturyLinkHelp,2988,2988,60,3.3045515394912983,2.0,651,1.0,0.40997322623828647,9874,3801,5766,0.6127297953520638
VirginAtlantic,2771,2770,24,3.719595813785637,3.0,30,0.9996391194514616,0.5745218332731866,10307,4318,5950,0.6978151260504202
Walmart,2406,2404,3,2.518287614297589,2.0,91,0.999168744804655,0.21238570241064006,6059,2643,3369,0.7666963490650045
AskCiti,2327,2327,20,3.414267296948861,3.0,37,1.0,0.5371723248818221,7945,4081,3855,0.7626459143968871
nationalrailenq,2275,2259,105,4.4558241758241754,4.0,60,0.9929670329670329,0.6923076923076923,10137,4444,5543,0.6943893198628901
VirginAmerica,2113,2113,31,3.061050638902035,2.0,40,1.0,0.3852342640795078,6468,2815,3620,0.7660220994475138
ATT,2061,2061,60,3.6943231441048034,2.0,651,1.0,0.4415332362930616,7614,2790,4510,0.5827050997782706
KFC_UKI_Help,2017,2017,2,2.5101636093207733,2.0,28,1.0,0.29846306395637084,5063,2103,2960,0.7077702702702703
DellCares,1996,1985,16,5.0160320641282565,4.0,84,0.9944889779559118,0.7640280561122245,10012,5336,4639,0.5996982108212977
askpanera,1978,1978,0,2.4691607684529826,2.0,12,1.0,0.2780586450960566,4884,2153,2731,0.7872574148663494
IHGService,1746,1746,2,3.1334478808705613,2.0,26,1.0,0.49828178694158076,5471,2643,2824,0.7546033994334278
TfL,1572,1572,10,3.2659033078880406,2.0,68,1.0,0.48409669211195927,5134,2243,2871,0.6572622779519331
NikeSupport,1563,1563,9,4.987204094689699,4.0,229,1.0,0.6308381317978247,7795,3468,4320,0.7680555555555556
ArbysCares,1555,1555,0,2.702893890675241,2.0,32,1.0,0.3369774919614148,4203,1904,2299,0.8055676381035233
DoorDash_Help,1509,1509,4,2.5387673956262424,2.0,24,1.0,0.30483764082173626,3831,1581,2244,0.698306595365419
GoDaddyHelp,1451,1451,2,3.095106822880772,2.0,19,1.0,0.42108890420399725,4491,1965,2526,0.7371338083927158
DunkinDonuts,1258,1258,0,2.2710651828298887,2.0,13,1.0,0.17965023847376788,2857,1290,1567,0.8142948308870454
sizehelpteam,1251,1251,0,2.820143884892086,2.0,35,1.0,0.3852917665867306,3528,1482,2046,0.7052785923753666
TwitterSupport,1219,1219,1,3.199343724364233,2.0,65,1.0,0.3527481542247744,3900,1290,2609,0.48179379072441547
AsurionCares,1074,1074,59,4.299813780260708,3.0,91,1.0,0.5148975791433892,4618,1898,2620,0.6751908396946565
Kimpton,1054,1054,1,2.72865275142315,2.0,12,1.0,0.31499051233396586,2876,1339,1536,0.8326822916666666
SCsupport,980,980,0,2.9979591836734696,2.0,28,1.0,0.4061224489795918,2938,1329,1609,0.637041640770665
AWSSupport,904,904,0,2.8019911504424777,2.0,16,1.0,0.46017699115044247,2533,1035,1498,0.6802403204272364
